datetime,time,code,price,value,comm,signal
2017-06-12,2017-06-12 23:59:59.999989,000042.sz,17.82,1049598.0,1049.598,BUY
2017-06-13,2017-06-13 23:59:59.999989,000017.sz,8.73,3492.0,3.4920000000000004,BUY
2017-06-13,2017-06-13 23:59:59.999989,000042.sz,17.48,1049598.0,1029.572,SELL
2017-06-22,2017-06-22 23:59:59.999989,000042.sz,17.01,1022301.0000000001,1022.3010000000002,BUY
2017-06-23,2017-06-23 23:59:59.999989,000017.sz,8.5,5100.0,5.1,BUY
2017-06-23,2017-06-23 23:59:59.999989,000042.sz,17.12,1022301.0000000001,1028.912,SELL
2017-07-18,2017-07-18 23:59:59.999989,000017.sz,7.55,977725.0,977.725,BUY
2017-07-19,2017-07-19 23:59:59.999989,000017.sz,7.76,48888.0,48.888,BUY
2017-08-24,2017-08-24 23:59:59.999989,000017.sz,8.12,23293293.676459644,21034.859999999997,SELL
2017-08-25,2017-08-25 23:59:59.999989,000042.sz,16.54,5249796.0,5249.796,BUY
2017-08-25,2017-08-25 23:59:59.999989,000062.sz,25.64,5251072.0,5251.072,BUY
2017-08-31,2017-08-31 23:59:59.999989,000062.sz,27.16,1002524.0,1061.9560000000001,SELL
2017-09-01,2017-09-01 23:59:59.999989,000062.sz,27.75,989704.0,1071.15,SELL
2017-09-04,2017-09-04 23:59:59.999989,000062.sz,27.8,989704.0,1073.0800000000002,SELL
2017-09-05,2017-09-05 23:59:59.999989,000062.sz,27.58,1002524.0,1078.378,SELL
2017-09-06,2017-09-06 23:59:59.999989,000062.sz,28.3,974320.0,1075.4,SELL
2017-09-07,2017-09-07 23:59:59.999989,000062.sz,28.28,292296.0,322.392,SELL
2017-09-08,2017-09-08 23:59:59.999989,000062.sz,29.45,5663235.0,5663.235000000001,BUY
2017-09-11,2017-09-11 23:59:59.999989,000062.sz,28.0,1055600.0,1055.6000000000001,BUY
2017-09-12,2017-09-12 23:59:59.999989,000062.sz,27.57,1061445.0,1061.445,BUY
